No,Tahun,Kode Provinsi,Provinsi,Kelompok Bahan Pangan,Komoditas,Konsumsi_Pangan,
368,2018,31,DKI Jakarta,Kacang-kacangan,Kacang lain,0.1,
369,2018,31,DKI Jakarta,Gula,Gula,5.7,
370,2018,31,DKI Jakarta,Gula,Gula pasir,5.4,
371,2018,31,DKI Jakarta,Gula,Gula merah,0.3,
372,2018,31,DKI Jakarta,Sayuran dan buah,Sayuran dan buah,92.9,
373,2018,31,DKI Jakarta,Sayuran dan buah,Sayur,55,
374,2018,31,DKI Jakarta,Sayuran dan buah,Buah,37.9,
375,2018,32,Jawa Barat,Padi-Padian,Padi-padian,121.8,
376,2018,32,Jawa Barat,Padi-Padian,Beras,100,
377,2018,32,Jawa Barat,Padi-Padian,Jagung,0.4,
378,2018,32,Jawa Barat,Padi-Padian,Terigu,21.4,
379,2018,32,Jawa Barat,Umbi-umbian,Umbi-umbian,13.9,
380,2018,32,Jawa Barat,Umbi-umbian,Singkong,8.7,
381,2018,32,Jawa Barat,Umbi-umbian,Ubi Jalar,2.1,
382,2018,32,Jawa Barat,Umbi-umbian,Kentang,2.7,
383,2018,32,Jawa Barat,Umbi-umbian,Sagu,0.1,
